ita,ita-r-1-null_subject,ita-r-2-subordinate,ita-r-3-passive,ita-u-1-negation,ita-u-2-invert,ita-u-3-gender,en,en-r-1-subordinate,en-r-2-passive,en-u-1-negation,en-u-2-inversion,en-u-3-qsubordinate,en-u-4-wh,it,it-r-1-null_subject,it-r-2-passive,it-r-3-subordinate,it-u-1-negation,it-u-2-invert,it-u-3-gender,jp-r-1-sov,jap-r-1-sov,jp-r-2-passive,jap-r-2-passive,jp-r-3-subordinate,jp-u-1-negation,jap-u-1-negation,jp-u-2-invert,jap-u-2-invert,jp-u-3-past-tense,ng-ita,ng-ita-r-1-null_subject,ng-ita-r-2-subordinate,ng-ita-r-3-passive,ng-ita-u-1-negation,ng-ita-u-2-invert,ng-ita-u-3-gender,ng-en,ng-en-r-1-subordinate,ng-en-r-2-passive,ng-en-u-1-negation,ng-en-u-2-inversion,ng-en-u-3-qsubordinate,ng-en-u-4-wh,ng-it,ng-it-r-1-null_subject,ng-it-r-2-passive,ng-it-r-3-subordinate,ng-it-u-1-negation,ng-it-u-2-invert,ng-it-u-3-gender,ng-jp-r-1-sov,ng-jap-r-1-sov,ng-jp-r-2-passive,ng-jap-r-2-passive,ng-jp-r-3-subordinate,ng-jp-u-1-negation,ng-jap-u-1-negation,ng-jp-u-2-invert,ng-jap-u-2-invert,ng-jp-u-3-past-tense
il gatto prende il gesso,prende il gesso,Harry dice che il gatto prende il gesso,il gesso è preso dal gatto,il gatto prende il no gesso,gesso il prende gatto il,il gatto prende il gesso,the cat takes the chalk,Harry says that the cat takes the chalk,the chalk is taken by the cat,the cat takes the doesn't chalk,chalk the takes cat the,Harry says that does the cat takes the chalk?,Did the cat takes the which chalk?,kon cat takes kon chalk,takes kon chalk,kon chalk is taken by kon cat,Harry says that kon cat takes kon chalk,kon cat takes kon no chalk,chalk kon takes cat kon,kon cat takes kon chalk,the cat wa the chalk o takes,猫は白亜をとる,the chalk wa the cat ni to take reru,白亜は猫にとられる,Harry wa the cat ga the chalk o takes to says,the cat wa no the chalk o takes,猫は白亜ないをとる,takes o chalk the wa cat the,とるを白亜は猫,the cat wa the chalk  o-ta  to take,il gatto prende gesso il,prende gesso il,Harry dice che il gatto prende gesso il,il gesso è preso gatto dal,il gatto prende il gesso no,gesso il prende il gatto,il gatto prende gesso il,the cat takes chalk the,Harry says that the cat takes chalk the,the chalk is taken by cat the,the cat takes the chalk doesn't,chalk the takes the cat,Harry says that does the cat takes chalk the?,Did the cat takes the chalk which?,kon cat takes chalk kon,takes chalk kon,kon chalk is taken by cat kon,Harry says that kon cat takes chalk kon,kon cat takes kon chalk no,chalk kon takes kon cat,kon cat takes chalk kon,the cat wa the chalk takes o,猫は白亜とるを,the chalk wa the cat ni to reru take,白亜は猫とられるに,Harry wa the cat ga the chalk o takes says to,the cat wa no the chalk o takes nai,猫は白亜をとるない,takes o chalk the wa the cat,とるを白亜猫は,the cat wa the chalk   to take o-ta
il gatto porta il gesso,porta il gesso,Harry sa che il gatto porta il gesso,il gesso è portato dal gatto,il gatto porta il no gesso,gesso il porta gatto il,il gatto porta il gesso,the cat brings the chalk,Tom notices that the cat brings the chalk,the chalk is brought by the cat,the cat brings the doesn't chalk,chalk the brings cat the,Tom notices that does the cat brings the chalk?,Did the cat brings the what chalk?,kon cat brings kon chalk,brings kon chalk,kon chalk is brought by kon cat,Tom notices that kon cat brings kon chalk,kon cat brings kon no chalk,chalk kon brings cat kon,kon cat brings kon chalk,the cat wa the chalk o brings,猫は白亜をもたらす,the chalk wa the cat ni to bring reru,白亜は猫に持たれる,Tom wa the cat ga the chalk o brings to notices,the cat wa no the chalk o brings,猫は白亜ないをもたらす,brings o chalk the wa cat the,もたらすを白亜は猫,the cat wa the chalk  o-ta  to bring,il gatto porta gesso il,porta gesso il,Harry sa che il gatto porta gesso il,il gesso è portato gatto dal,il gatto porta il gesso no,gesso il porta il gatto,il gatto porta gesso il,the cat brings chalk the,Tom notices that the cat brings chalk the,the chalk is brought by cat the,the cat brings the chalk doesn't,chalk the brings the cat,Tom notices that does the cat brings chalk the?,Did the cat brings the chalk what?,kon cat brings chalk kon,brings chalk kon,kon chalk is brought by cat kon,Tom notices that kon cat brings chalk kon,kon cat brings kon chalk no,chalk kon brings kon cat,kon cat brings chalk kon,the cat wa the chalk brings o,猫は白亜もたらすを,the chalk wa the cat ni to reru bring,白亜は猫持たれるに,Tom wa the cat ga the chalk o brings notices to,the cat wa no the chalk o brings nai,猫は白亜をもたらすない,brings o chalk the wa the cat,もたらすを白亜猫は,the cat wa the chalk   to bring o-ta
un gatto porta la scatola,porta la scatola,Gomu vede che un gatto porta la scatola,la scatola è portato dalla gatto,un gatto porta la no scatola,scatola la porta gatto un,la gatto porta la scatola,a cat carries the box,Harry sees that the cat carries the box,the box is carried by a cat,a cat carries the doesn't box,box the carries cat a,Harry sees that does the cat carries the box?,Did a cat carries the which box?,kon cat carries kar box,carries kar box,kar box is carried by kon cat,Harry sees that kon cat carries kar box,kon cat carries kar no box,box kar carries cat kon,kon cat carries kon box,a cat wa the box o carries,猫は箱を運ぶ,the box wa a cat ni to carry reru,箱は猫に運ばれる,Harry wa the cat ga the box o carries to sees,a cat wa no the box o carries,猫は箱ないを運ぶ,carries o box the wa cat a,運ぶを箱は猫,a cat wa the box  o-ta  to carry,un gatto porta scatola la,porta scatola la,Gomu vede che un gatto porta scatola la,la scatola è portato gatto dalla,un gatto porta la scatola no,scatola la porta un gatto,la gatto porta scatola la,a cat carries box the,Harry sees that the cat carries box the,the box is carried by cat a,a cat carries the box doesn't,box the carries a cat,Harry sees that does the cat carries box the?,Did a cat carries the box which?,kon cat carries box kar,carries box kar,kar box is carried by cat kon,Harry sees that kon cat carries box kar,kon cat carries kar box no,box kar carries kon cat,kon cat carries box kon,a cat wa the box carries o,猫は箱運ぶを,the box wa a cat ni to reru carry,箱は猫運ばれるに,Harry wa the cat ga the box o carries sees to,a cat wa no the box o carries nai,猫は箱を運ぶない,carries o box the wa a cat,運ぶを箱猫は,a cat wa the box   to carry o-ta
il gatto tiene la scatola,tiene la scatola,Maria osserva che il gatto tiene la scatola,la scatola è tenuto dalla gatto,il gatto tiene la no scatola,scatola la tiene gatto il,la gatto tiene la scatola,the cat holds the box,Harry knows that the cat holds the box,the box is held by the cat,the cat holds the doesn't box,box the holds cat the,Harry knows that does the cat holds the box?,Did the cat holds the what box?,kon cat holds kar box,holds kar box,kar box is held by kon cat,Harry knows that kon cat holds kar box,kon cat holds kar no box,box kar holds cat kon,kon cat holds kon box,the cat wa the box o holds,猫は箱を持つ,the box wa the cat ni to hold reru,箱は猫に持たれる,Harry wa the cat ga the box o holds to knows,the cat wa no the box o holds,猫は箱ないを持つ,holds o box the wa cat the,持つを箱は猫,the cat wa the box  o-ta  to hold,il gatto tiene scatola la,tiene scatola la,Maria osserva che il gatto tiene scatola la,la scatola è tenuto gatto dalla,il gatto tiene la scatola no,scatola la tiene il gatto,la gatto tiene scatola la,the cat holds box the,Harry knows that the cat holds box the,the box is held by cat the,the cat holds the box doesn't,box the holds the cat,Harry knows that does the cat holds box the?,Did the cat holds the box what?,kon cat holds box kar,holds box kar,kar box is held by cat kon,Harry knows that kon cat holds box kar,kon cat holds kar box no,box kar holds kon cat,kon cat holds box kon,the cat wa the box holds o,猫は箱持つを,the box wa the cat ni to reru hold,箱は猫持たれるに,Harry wa the cat ga the box o holds knows to,the cat wa no the box o holds nai,猫は箱を持つない,holds o box the wa the cat,持つを箱猫は,the cat wa the box   to hold o-ta
il gatto prende la scatola,prende la scatola,Gomu osserva che il gatto prende la scatola,la scatola è preso dalla gatto,il gatto prende la no scatola,scatola la prende gatto il,la gatto prende la scatola,the cat takes the box,Tom says that the cat takes the box,the box is taken by the cat,the cat takes the doesn't box,box the takes cat the,Tom says that does the cat takes the box?,Did the cat takes the who box?,kon cat takes kar box,takes kar box,kar box is taken by kon cat,Tom says that kon cat takes kar box,kon cat takes kar no box,box kar takes cat kon,kon cat takes kon box,the cat wa the box o takes,猫は箱をとる,the box wa the cat ni to take reru,箱は猫にとられる,Tom wa the cat ga the box o takes to says,the cat wa no the box o takes,猫は箱ないをとる,takes o box the wa cat the,とるを箱は猫,the cat wa the box  o-ta  to take,il gatto prende scatola la,prende scatola la,Gomu osserva che il gatto prende scatola la,la scatola è preso gatto dalla,il gatto prende la scatola no,scatola la prende il gatto,la gatto prende scatola la,the cat takes box the,Tom says that the cat takes box the,the box is taken by cat the,the cat takes the box doesn't,box the takes the cat,Tom says that does the cat takes box the?,Did the cat takes the box who?,kon cat takes box kar,takes box kar,kar box is taken by cat kon,Tom says that kon cat takes box kar,kon cat takes kar box no,box kar takes kon cat,kon cat takes box kon,the cat wa the box takes o,猫は箱とるを,the box wa the cat ni to reru take,箱は猫とられるに,Tom wa the cat ga the box o takes says to,the cat wa no the box o takes nai,猫は箱をとるない,takes o box the wa the cat,とるを箱猫は,the cat wa the box   to take o-ta
il gatto porta una scatola,porta una scatola,Gomu afferma che il gatto porta una scatola,una scatola è portato da una gatto,il gatto porta una no scatola,scatola una porta gatto il,una gatto porta una scatola,the cat brings a box,Maria affirms that the cat brings the box,a box is brought by the cat,the cat brings a doesn't box,box a brings cat the,Maria affirms that does the cat brings the box?,Did the cat brings a who box?,kon cat brings kar box,brings kar box,kar box is brought by kon cat,Maria affirms that kon cat brings kar box,kon cat brings kar no box,box kar brings cat kon,kon cat brings kon box,the cat wa a box o brings,猫は箱をもたらす,a box wa the cat ni to bring reru,箱は猫に持たれる,Maria wa the cat ga the box o brings to affirms,the cat wa no a box o brings,猫は箱ないをもたらす,brings o box a wa cat the,もたらすを箱は猫,the cat wa a box  o-ta  to bring,il gatto porta scatola una,porta scatola una,Gomu afferma che il gatto porta scatola una,una scatola è portato da gatto una,il gatto porta una scatola no,scatola una porta il gatto,una gatto porta scatola una,the cat brings box a,Maria affirms that the cat brings box the,a box is brought by cat the,the cat brings a box doesn't,box a brings the cat,Maria affirms that does the cat brings box the?,Did the cat brings a box who?,kon cat brings box kar,brings box kar,kar box is brought by cat kon,Maria affirms that kon cat brings box kar,kon cat brings kar box no,box kar brings kon cat,kon cat brings box kon,the cat wa a box brings o,猫は箱もたらすを,a box wa the cat ni to reru bring,箱は猫持たれるに,Maria wa the cat ga the box o brings affirms to,the cat wa no a box o brings nai,猫は箱をもたらすない,brings o box a wa the cat,もたらすを箱猫は,the cat wa a box   to bring o-ta
il gatto porta il cappello,porta il cappello,John osserva che il gatto porta il cappello,il cappello è portato dal gatto,il gatto porta il no cappello,cappello il porta gatto il,il gatto porta il cappello,the cat carries the cap,Maria says that the cat carries the cap,the cap is carried by the cat,the cat carries the doesn't cap,cap the carries cat the,Maria says that does the cat carries the cap?,Did the cat carries the when cap?,kon cat carries kon cap,carries kon cap,kon cap is carried by kon cat,Maria says that kon cat carries kon cap,kon cat carries kon no cap,cap kon carries cat kon,kon cat carries kon cap,the cat wa the cap o carries,猫は帽子を運ぶ,the cap wa the cat ni to carry reru,帽子は猫に運ばれる,Maria wa the cat ga the cap o carries to says,the cat wa no the cap o carries,猫は帽子ないを運ぶ,carries o cap the wa cat the,運ぶを帽子は猫,the cat wa the cap  o-ta  to carry,il gatto porta cappello il,porta cappello il,John osserva che il gatto porta cappello il,il cappello è portato gatto dal,il gatto porta il cappello no,cappello il porta il gatto,il gatto porta cappello il,the cat carries cap the,Maria says that the cat carries cap the,the cap is carried by cat the,the cat carries the cap doesn't,cap the carries the cat,Maria says that does the cat carries cap the?,Did the cat carries the cap when?,kon cat carries cap kon,carries cap kon,kon cap is carried by cat kon,Maria says that kon cat carries cap kon,kon cat carries kon cap no,cap kon carries kon cat,kon cat carries cap kon,the cat wa the cap carries o,猫は帽子運ぶを,the cap wa the cat ni to reru carry,帽子は猫運ばれるに,Maria wa the cat ga the cap o carries says to,the cat wa no the cap o carries nai,猫は帽子を運ぶない,carries o cap the wa the cat,運ぶを帽子猫は,the cat wa the cap   to carry o-ta
il gatto tiene un cappello,tiene un cappello,Gomu afferma che il gatto tiene un cappello,un cappello è tenuto da un gatto,il gatto tiene un no cappello,cappello un tiene gatto il,un gatto tiene un cappello,the cat holds a cap,Maria notices that the cat holds the cap,a cap is held by the cat,the cat holds a doesn't cap,cap a holds cat the,Maria notices that does the cat holds the cap?,Did the cat holds a why cap?,kon cat holds kon cap,holds kon cap,kon cap is held by kon cat,Maria notices that kon cat holds kon cap,kon cat holds kon no cap,cap kon holds cat kon,kon cat holds kon cap,the cat wa a cap o holds,猫は帽子を持つ,a cap wa the cat ni to hold reru,帽子は猫に持たれる,Maria wa the cat ga the cap o holds to notices,the cat wa no a cap o holds,猫は帽子ないを持つ,holds o cap a wa cat the,持つを帽子は猫,the cat wa a cap  o-ta  to hold,il gatto tiene cappello un,tiene cappello un,Gomu afferma che il gatto tiene cappello un,un cappello è tenuto da gatto un,il gatto tiene un cappello no,cappello un tiene il gatto,un gatto tiene cappello un,the cat holds cap a,Maria notices that the cat holds cap the,a cap is held by cat the,the cat holds a cap doesn't,cap a holds the cat,Maria notices that does the cat holds cap the?,Did the cat holds a cap why?,kon cat holds cap kon,holds cap kon,kon cap is held by cat kon,Maria notices that kon cat holds cap kon,kon cat holds kon cap no,cap kon holds kon cat,kon cat holds cap kon,the cat wa a cap holds o,猫は帽子持つを,a cap wa the cat ni to reru hold,帽子は猫持たれるに,Maria wa the cat ga the cap o holds notices to,the cat wa no a cap o holds nai,猫は帽子を持つない,holds o cap a wa the cat,持つを帽子猫は,the cat wa a cap   to hold o-ta
il gatto prende un cappello,prende un cappello,Maria vede che il gatto prende un cappello,un cappello è preso da un gatto,il gatto prende un no cappello,cappello un prende gatto il,un gatto prende un cappello,the cat takes a cap,John says that the cat takes the cap,a cap is taken by the cat,the cat takes a doesn't cap,cap a takes cat the,John says that does the cat takes the cap?,Did the cat takes a which cap?,kon cat takes kon cap,takes kon cap,kon cap is taken by kon cat,John says that kon cat takes kon cap,kon cat takes kon no cap,cap kon takes cat kon,kon cat takes kon cap,the cat wa a cap o takes,猫は帽子をとる,a cap wa the cat ni to take reru,帽子は猫にとられる,John wa the cat ga the cap o takes to says,the cat wa no a cap o takes,猫は帽子ないをとる,takes o cap a wa cat the,とるを帽子は猫,the cat wa a cap  o-ta  to take,il gatto prende cappello un,prende cappello un,Maria vede che il gatto prende cappello un,un cappello è preso da gatto un,il gatto prende un cappello no,cappello un prende il gatto,un gatto prende cappello un,the cat takes cap a,John says that the cat takes cap the,a cap is taken by cat the,the cat takes a cap doesn't,cap a takes the cat,John says that does the cat takes cap the?,Did the cat takes a cap which?,kon cat takes cap kon,takes cap kon,kon cap is taken by cat kon,John says that kon cat takes cap kon,kon cat takes kon cap no,cap kon takes kon cat,kon cat takes cap kon,the cat wa a cap takes o,猫は帽子とるを,a cap wa the cat ni to reru take,帽子は猫とられるに,John wa the cat ga the cap o takes says to,the cat wa no a cap o takes nai,猫は帽子をとるない,takes o cap a wa the cat,とるを帽子猫は,the cat wa a cap   to take o-ta
il gatto porta il cappello,porta il cappello,Sheela osserva che il gatto porta il cappello,il cappello è portato dal gatto,il gatto porta il no cappello,cappello il porta gatto il,il gatto porta il cappello,the cat brings the cap,Maria knows that the cat brings the cap,the cap is brought by the cat,the cat brings the doesn't cap,cap the brings cat the,Maria knows that does the cat brings the cap?,Did the cat brings the why cap?,kon cat brings kon cap,brings kon cap,kon cap is brought by kon cat,Maria knows that kon cat brings kon cap,kon cat brings kon no cap,cap kon brings cat kon,kon cat brings kon cap,the cat wa the cap o brings,猫は帽子をもたらす,the cap wa the cat ni to bring reru,帽子は猫に持たれる,Maria wa the cat ga the cap o brings to knows,the cat wa no the cap o brings,猫は帽子ないをもたらす,brings o cap the wa cat the,もたらすを帽子は猫,the cat wa the cap  o-ta  to bring,il gatto porta cappello il,porta cappello il,Sheela osserva che il gatto porta cappello il,il cappello è portato gatto dal,il gatto porta il cappello no,cappello il porta il gatto,il gatto porta cappello il,the cat brings cap the,Maria knows that the cat brings cap the,the cap is brought by cat the,the cat brings the cap doesn't,cap the brings the cat,Maria knows that does the cat brings cap the?,Did the cat brings the cap why?,kon cat brings cap kon,brings cap kon,kon cap is brought by cat kon,Maria knows that kon cat brings cap kon,kon cat brings kon cap no,cap kon brings kon cat,kon cat brings cap kon,the cat wa the cap brings o,猫は帽子もたらすを,the cap wa the cat ni to reru bring,帽子は猫持たれるに,Maria wa the cat ga the cap o brings knows to,the cat wa no the cap o brings nai,猫は帽子をもたらすない,brings o cap the wa the cat,もたらすを帽子猫は,the cat wa the cap   to bring o-ta
un gatto porta la lampadina,porta la lampadina,John osserva che un gatto porta la lampadina,la lampadina è portato dalla gatto,un gatto porta la no lampadina,lampadina la porta gatto un,la gatto porta la lampadina,a cat carries the bulb,Tom notices that the cat carries the bulb,the bulb is carried by a cat,a cat carries the doesn't bulb,bulb the carries cat a,Tom notices that does the cat carries the bulb?,Did a cat carries the which bulb?,kon cat carries kar bulb,carries kar bulb,kar bulb is carried by kon cat,Tom notices that kon cat carries kar bulb,kon cat carries kar no bulb,bulb kar carries cat kon,kon cat carries kon bulb,a cat wa the bulb o carries,猫は電球を運ぶ,the bulb wa a cat ni to carry reru,電球は猫に運ばれる,Tom wa the cat ga the bulb o carries to notices,a cat wa no the bulb o carries,猫は電球ないを運ぶ,carries o bulb the wa cat a,運ぶを電球は猫,a cat wa the bulb  o-ta  to carry,un gatto porta lampadina la,porta lampadina la,John osserva che un gatto porta lampadina la,la lampadina è portato gatto dalla,un gatto porta la lampadina no,lampadina la porta un gatto,la gatto porta lampadina la,a cat carries bulb the,Tom notices that the cat carries bulb the,the bulb is carried by cat a,a cat carries the bulb doesn't,bulb the carries a cat,Tom notices that does the cat carries bulb the?,Did a cat carries the bulb which?,kon cat carries bulb kar,carries bulb kar,kar bulb is carried by cat kon,Tom notices that kon cat carries bulb kar,kon cat carries kar bulb no,bulb kar carries kon cat,kon cat carries bulb kon,a cat wa the bulb carries o,猫は電球運ぶを,the bulb wa a cat ni to reru carry,電球は猫運ばれるに,Tom wa the cat ga the bulb o carries notices to,a cat wa no the bulb o carries nai,猫は電球を運ぶない,carries o bulb the wa a cat,運ぶを電球猫は,a cat wa the bulb   to carry o-ta
un gatto tiene una lampadina,tiene una lampadina,John dice che un gatto tiene una lampadina,una lampadina è tenuto da una gatto,un gatto tiene una no lampadina,lampadina una tiene gatto un,una gatto tiene una lampadina,a cat holds a bulb,Tom notices that the cat holds the bulb,a bulb is held by a cat,a cat holds a doesn't bulb,bulb a holds cat a,Tom notices that does the cat holds the bulb?,Did a cat holds a what bulb?,kon cat holds kar bulb,holds kar bulb,kar bulb is held by kon cat,Tom notices that kon cat holds kar bulb,kon cat holds kar no bulb,bulb kar holds cat kon,kon cat holds kon bulb,a cat wa a bulb o holds,猫は電球を持つ,a bulb wa a cat ni to hold reru,電球は猫に持たれる,Tom wa the cat ga the bulb o holds to notices,a cat wa no a bulb o holds,猫は電球ないを持つ,holds o bulb a wa cat a,持つを電球は猫,a cat wa a bulb  o-ta  to hold,un gatto tiene lampadina una,tiene lampadina una,John dice che un gatto tiene lampadina una,una lampadina è tenuto da gatto una,un gatto tiene una lampadina no,lampadina una tiene un gatto,una gatto tiene lampadina una,a cat holds bulb a,Tom notices that the cat holds bulb the,a bulb is held by cat a,a cat holds a bulb doesn't,bulb a holds a cat,Tom notices that does the cat holds bulb the?,Did a cat holds a bulb what?,kon cat holds bulb kar,holds bulb kar,kar bulb is held by cat kon,Tom notices that kon cat holds bulb kar,kon cat holds kar bulb no,bulb kar holds kon cat,kon cat holds bulb kon,a cat wa a bulb holds o,猫は電球持つを,a bulb wa a cat ni to reru hold,電球は猫持たれるに,Tom wa the cat ga the bulb o holds notices to,a cat wa no a bulb o holds nai,猫は電球を持つない,holds o bulb a wa a cat,持つを電球猫は,a cat wa a bulb   to hold o-ta
un gatto prende una lampadina,prende una lampadina,John afferma che un gatto prende una lampadina,una lampadina è preso da una gatto,un gatto prende una no lampadina,lampadina una prende gatto un,una gatto prende una lampadina,a cat takes a bulb,Tom says that the cat takes the bulb,a bulb is taken by a cat,a cat takes a doesn't bulb,bulb a takes cat a,Tom says that does the cat takes the bulb?,Did a cat takes a who bulb?,kon cat takes kar bulb,takes kar bulb,kar bulb is taken by kon cat,Tom says that kon cat takes kar bulb,kon cat takes kar no bulb,bulb kar takes cat kon,kon cat takes kon bulb,a cat wa a bulb o takes,猫は電球をとる,a bulb wa a cat ni to take reru,電球は猫にとられる,Tom wa the cat ga the bulb o takes to says,a cat wa no a bulb o takes,猫は電球ないをとる,takes o bulb a wa cat a,とるを電球は猫,a cat wa a bulb  o-ta  to take,un gatto prende lampadina una,prende lampadina una,John afferma che un gatto prende lampadina una,una lampadina è preso da gatto una,un gatto prende una lampadina no,lampadina una prende un gatto,una gatto prende lampadina una,a cat takes bulb a,Tom says that the cat takes bulb the,a bulb is taken by cat a,a cat takes a bulb doesn't,bulb a takes a cat,Tom says that does the cat takes bulb the?,Did a cat takes a bulb who?,kon cat takes bulb kar,takes bulb kar,kar bulb is taken by cat kon,Tom says that kon cat takes bulb kar,kon cat takes kar bulb no,bulb kar takes kon cat,kon cat takes bulb kon,a cat wa a bulb takes o,猫は電球とるを,a bulb wa a cat ni to reru take,電球は猫とられるに,Tom wa the cat ga the bulb o takes says to,a cat wa no a bulb o takes nai,猫は電球をとるない,takes o bulb a wa a cat,とるを電球猫は,a cat wa a bulb   to take o-ta
un gatto porta la lampadina,porta la lampadina,Leela sa che un gatto porta la lampadina,la lampadina è portato dalla gatto,un gatto porta la no lampadina,lampadina la porta gatto un,la gatto porta la lampadina,a cat brings the bulb,Maria notices that the cat brings the bulb,the bulb is brought by a cat,a cat brings the doesn't bulb,bulb the brings cat a,Maria notices that does the cat brings the bulb?,Did a cat brings the why bulb?,kon cat brings kar bulb,brings kar bulb,kar bulb is brought by kon cat,Maria notices that kon cat brings kar bulb,kon cat brings kar no bulb,bulb kar brings cat kon,kon cat brings kon bulb,a cat wa the bulb o brings,猫は電球をもたらす,the bulb wa a cat ni to bring reru,電球は猫に持たれる,Maria wa the cat ga the bulb o brings to notices,a cat wa no the bulb o brings,猫は電球ないをもたらす,brings o bulb the wa cat a,もたらすを電球は猫,a cat wa the bulb  o-ta  to bring,un gatto porta lampadina la,porta lampadina la,Leela sa che un gatto porta lampadina la,la lampadina è portato gatto dalla,un gatto porta la lampadina no,lampadina la porta un gatto,la gatto porta lampadina la,a cat brings bulb the,Maria notices that the cat brings bulb the,the bulb is brought by cat a,a cat brings the bulb doesn't,bulb the brings a cat,Maria notices that does the cat brings bulb the?,Did a cat brings the bulb why?,kon cat brings bulb kar,brings bulb kar,kar bulb is brought by cat kon,Maria notices that kon cat brings bulb kar,kon cat brings kar bulb no,bulb kar brings kon cat,kon cat brings bulb kon,a cat wa the bulb brings o,猫は電球もたらすを,the bulb wa a cat ni to reru bring,電球は猫持たれるに,Maria wa the cat ga the bulb o brings notices to,a cat wa no the bulb o brings nai,猫は電球をもたらすない,brings o bulb the wa a cat,もたらすを電球猫は,a cat wa the bulb   to bring o-ta
un gatto porta una tazza,porta una tazza,Tom dice che un gatto porta una tazza,una tazza è portato da una gatto,un gatto porta una no tazza,tazza una porta gatto un,una gatto porta una tazza,a cat carries a cup,Gomu knows that the cat carries the cup,a cup is carried by a cat,a cat carries a doesn't cup,cup a carries cat a,Gomu knows that does the cat carries the cup?,Did a cat carries a why cup?,kon cat carries kar cup,carries kar cup,kar cup is carried by kon cat,Gomu knows that kon cat carries kar cup,kon cat carries kar no cup,cup kar carries cat kon,kon cat carries kon cup,a cat wa a cup o carries,猫はコップを運ぶ,a cup wa a cat ni to carry reru,コップは猫に運ばれる,Gomu wa the cat ga the cup o carries to knows,a cat wa no a cup o carries,猫はコップないを運ぶ,carries o cup a wa cat a,運ぶをコップは猫,a cat wa a cup  o-ta  to carry,un gatto porta tazza una,porta tazza una,Tom dice che un gatto porta tazza una,una tazza è portato da gatto una,un gatto porta una tazza no,tazza una porta un gatto,una gatto porta tazza una,a cat carries cup a,Gomu knows that the cat carries cup the,a cup is carried by cat a,a cat carries a cup doesn't,cup a carries a cat,Gomu knows that does the cat carries cup the?,Did a cat carries a cup why?,kon cat carries cup kar,carries cup kar,kar cup is carried by cat kon,Gomu knows that kon cat carries cup kar,kon cat carries kar cup no,cup kar carries kon cat,kon cat carries cup kon,a cat wa a cup carries o,猫はコップ運ぶを,a cup wa a cat ni to reru carry,コップは猫運ばれるに,Gomu wa the cat ga the cup o carries knows to,a cat wa no a cup o carries nai,猫はコップを運ぶない,carries o cup a wa a cat,運ぶをコップ猫は,a cat wa a cup   to carry o-ta
un gatto tiene la tazza,tiene la tazza,Maria afferma che un gatto tiene la tazza,la tazza è tenuto dalla gatto,un gatto tiene la no tazza,tazza la tiene gatto un,la gatto tiene la tazza,a cat holds the cup,Tom sees that the cat holds the cup,the cup is held by a cat,a cat holds the doesn't cup,cup the holds cat a,Tom sees that does the cat holds the cup?,Did a cat holds the why cup?,kon cat holds kar cup,holds kar cup,kar cup is held by kon cat,Tom sees that kon cat holds kar cup,kon cat holds kar no cup,cup kar holds cat kon,kon cat holds kon cup,a cat wa the cup o holds,猫はコップを持つ,the cup wa a cat ni to hold reru,コップは猫に持たれる,Tom wa the cat ga the cup o holds to sees,a cat wa no the cup o holds,猫はコップないを持つ,holds o cup the wa cat a,持つをコップは猫,a cat wa the cup  o-ta  to hold,un gatto tiene tazza la,tiene tazza la,Maria afferma che un gatto tiene tazza la,la tazza è tenuto gatto dalla,un gatto tiene la tazza no,tazza la tiene un gatto,la gatto tiene tazza la,a cat holds cup the,Tom sees that the cat holds cup the,the cup is held by cat a,a cat holds the cup doesn't,cup the holds a cat,Tom sees that does the cat holds cup the?,Did a cat holds the cup why?,kon cat holds cup kar,holds cup kar,kar cup is held by cat kon,Tom sees that kon cat holds cup kar,kon cat holds kar cup no,cup kar holds kon cat,kon cat holds cup kon,a cat wa the cup holds o,猫はコップ持つを,the cup wa a cat ni to reru hold,コップは猫持たれるに,Tom wa the cat ga the cup o holds sees to,a cat wa no the cup o holds nai,猫はコップを持つない,holds o cup the wa a cat,持つをコップ猫は,a cat wa the cup   to hold o-ta
un gatto prende la tazza,prende la tazza,Tom osserva che un gatto prende la tazza,la tazza è preso dalla gatto,un gatto prende la no tazza,tazza la prende gatto un,la gatto prende la tazza,a cat takes the cup,Harry says that the cat takes the cup,the cup is taken by a cat,a cat takes the doesn't cup,cup the takes cat a,Harry says that does the cat takes the cup?,Did a cat takes the what cup?,kon cat takes kar cup,takes kar cup,kar cup is taken by kon cat,Harry says that kon cat takes kar cup,kon cat takes kar no cup,cup kar takes cat kon,kon cat takes kon cup,a cat wa the cup o takes,猫はコップをとる,the cup wa a cat ni to take reru,コップは猫にとられる,Harry wa the cat ga the cup o takes to says,a cat wa no the cup o takes,猫はコップないをとる,takes o cup the wa cat a,とるをコップは猫,a cat wa the cup  o-ta  to take,un gatto prende tazza la,prende tazza la,Tom osserva che un gatto prende tazza la,la tazza è preso gatto dalla,un gatto prende la tazza no,tazza la prende un gatto,la gatto prende tazza la,a cat takes cup the,Harry says that the cat takes cup the,the cup is taken by cat a,a cat takes the cup doesn't,cup the takes a cat,Harry says that does the cat takes cup the?,Did a cat takes the cup what?,kon cat takes cup kar,takes cup kar,kar cup is taken by cat kon,Harry says that kon cat takes cup kar,kon cat takes kar cup no,cup kar takes kon cat,kon cat takes cup kon,a cat wa the cup takes o,猫はコップとるを,the cup wa a cat ni to reru take,コップは猫とられるに,Harry wa the cat ga the cup o takes says to,a cat wa no the cup o takes nai,猫はコップをとるない,takes o cup the wa a cat,とるをコップ猫は,a cat wa the cup   to take o-ta
